Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,42.900002,42.900002,42.000000,42.799999,42.799999,168028
2022-07-14,41.750000,42.099998,41.349998,41.549999,41.549999,50306
2022-07-15,41.450001,41.849998,41.124199,41.750000,41.750000,99252
2022-07-18,42.450001,42.948502,42.450001,42.700001,42.700001,1443
2022-07-19,43.849998,43.900002,43.750000,43.900002,43.900002,3360
2022-07-20,44.150002,44.579399,43.599998,43.700001,43.700001,32283
2022-07-21,44.349998,44.849998,44.299999,44.799999,44.799999,2325
2022-07-22,45.099998,45.900002,44.900002,45.900002,45.900002,5900
2022-07-25,45.700001,45.799999,44.200001,45.000000,45.000000,4550
2022-07-26,44.299999,44.299999,43.849998,43.849998,43.849998,1886
2022-07-27,44.700001,44.900002,44.599998,44.750000,44.750000,2392
2022-07-28,45.450001,45.799999,45.150002,45.799999,45.799999,6294
2022-07-29,45.799999,46.000000,45.599998,45.900002,45.900002,8436
2022-08-01,45.849998,46.299999,45.799999,46.299999,46.299999,16843
2022-08-02,46.299999,46.700001,46.099998,46.599998,46.599998,10063
2022-08-03,46.400002,46.599998,46.200001,46.299999,46.299999,12357
2022-08-04,45.150002,45.700001,44.950001,45.500000,45.500000,2440
2022-08-05,46.099998,46.500000,45.650002,46.000000,46.000000,18338
2022-08-08,46.700001,46.960300,46.700001,46.900002,46.900002,22546
2022-08-09,46.549999,46.950001,46.549999,46.700001,46.700001,402
2022-08-10,46.599998,47.849998,46.599998,47.849998,47.849998,8764
2022-08-11,47.750000,48.200001,47.750000,48.099998,48.099998,38168
2022-08-12,48.200001,48.200001,48.000000,48.150002,48.150002,1160
2022-08-15,48.200001,48.349998,48.049999,48.349998,48.349998,943
2022-08-16,48.150002,48.200001,47.700001,48.200001,48.200001,9088
2022-08-17,48.650002,48.950001,48.349998,48.500000,48.500000,4179
2022-08-18,48.150002,52.000000,48.150002,52.000000,52.000000,11810
2022-08-19,47.400002,47.750000,47.099998,47.299999,47.299999,3743
2022-08-22,46.900002,46.900002,46.450001,46.750000,46.750000,5555
2022-08-23,46.500000,47.400002,46.500000,47.099998,47.099998,11646
2022-08-24,46.900002,47.650002,46.481800,47.650002,47.650002,184853
2022-08-25,47.450001,47.450001,46.625500,46.799999,46.799999,177466
2022-08-26,47.099998,47.250000,46.650002,46.650002,46.650002,6268
2022-08-30,47.000000,47.750000,46.700001,47.000000,47.000000,4952
2022-08-31,47.000000,49.950001,46.250000,47.500000,47.500000,10784
2022-09-01,47.099998,47.200001,46.450001,46.700001,46.700001,8755
2022-09-02,47.150002,48.000000,46.599998,47.799999,47.799999,11760
2022-09-05,47.400002,47.500000,47.250000,47.500000,47.500000,1318
2022-09-06,47.700001,47.700001,46.650002,47.099998,47.099998,10374
2022-09-07,47.099998,47.700001,47.099998,47.700001,47.700001,2541
2022-09-08,48.650002,49.599998,48.349998,49.599998,49.599998,1225
2022-09-09,49.900002,51.500000,48.819801,50.500000,50.500000,94221
2022-09-12,50.900002,51.099998,49.258499,51.099998,51.099998,122174
2022-09-13,51.000000,51.000000,49.500000,49.549999,49.549999,1269
2022-09-14,51.099998,51.299999,50.000000,50.400002,50.400002,13961
2022-09-15,50.299999,50.299999,49.400002,49.400002,49.400002,964
2022-09-16,49.299999,49.700001,48.900002,49.349998,49.349998,17378
2022-09-20,50.799999,51.000000,50.200001,50.299999,50.299999,15409
2022-09-21,50.299999,50.500000,49.950001,50.200001,50.200001,1749
2022-09-22,48.849998,49.299999,48.299999,48.299999,48.299999,6089
2022-09-23,47.250000,47.500000,46.599998,47.000000,47.000000,8857
2022-09-26,45.400002,45.900002,45.150002,45.750000,45.750000,11918
2022-09-27,45.349998,45.549999,44.804401,45.250000,45.250000,5311
2022-09-28,44.500000,44.500000,43.049999,44.000000,44.000000,4753
2022-09-29,43.799999,44.248199,42.650002,43.349998,43.349998,4478
2022-09-30,44.849998,45.049999,43.390099,45.000000,45.000000,26887
2022-10-03,44.549999,44.549999,43.299999,43.750000,43.750000,26512
2022-10-04,45.250000,45.900002,44.849998,45.900002,45.900002,6551
2022-10-05,45.450001,45.799999,45.049999,45.150002,45.150002,926
2022-10-06,45.900002,46.500000,45.500000,46.500000,46.500000,55502
2022-10-07,45.549999,46.150002,45.299999,46.150002,46.150002,3827
2022-10-10,47.150002,47.450001,46.450001,47.450001,47.450001,5358
2022-10-11,47.700001,48.185600,47.599998,47.900002,47.900002,247424
2022-10-12,48.799999,49.200001,48.450001,48.599998,48.599998,967602
2022-10-13,48.849998,50.900002,47.599998,48.750000,48.750000,764845
2022-10-14,49.000000,49.299999,47.900002,48.250000,48.250000,33210
2022-10-17,48.599998,50.099998,48.599998,50.099998,50.099998,93094
2022-10-18,49.549999,49.900002,49.549999,49.549999,49.549999,132528
2022-10-19,50.200001,50.500000,49.799999,49.799999,49.799999,12913
